article_index,Excluded?,coder_1,coder_2,coder_3,coder_4,notes
Peace Ops.107,0,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Peace Ops.108,0,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.109,0,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Peace Ops.110,0,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Peace Ops.111,0,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.112,1,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.113,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Peace Ops.114,0,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.115,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Peace Ops.116,0,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.117,0,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.118,1,KyraFox,dsolomon_ushmm,Alexbhall,sascha.nanlohy,
Peace Ops.119,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Peace Ops.120,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Peace Ops.121,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Peace Ops.122,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Peace Ops.123,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Peace Ops.124,0,KyraFox,dsolomon_ushmm,dsolomon_ushmm,tallandonine,
Peace Ops.125,0,KyraFox,dsolomon_ushmm,dsolomon_ushmm,tallandonine,
Peace Ops.126,0,KyraFox,dsolomon_ushmm,dsolomon_ushmm,dsolomon_ushmm,
Prosecutions.01,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Prosecutions.02,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Prosecutions.03,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Prosecutions.04,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.05,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.06,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.07,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.08,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.09,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.10,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.11,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.12,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.13,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.14,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.15,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.16,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.17,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.18,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.19,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.20,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.21,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.22,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.23,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.24,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.25,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.26,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.27,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.28,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.29,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.30,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.31,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.32,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.33,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.34,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.35,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.36,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.37,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.38,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.39,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
